COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,40159,5,0,2,RUA,,MARIA JOSE SANTANA,810.0,,,,,,,,,,,,-20.07153497222222,-44.17972830555555,804.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,MARIA JOSE SANTANA,,SN,,,,,,,,,,,-20.058316666666666,-44.176105,751.0,CAMPO BELO,3,32470000
31,40159,5,0,2,RUA,,MARIA JOSE SANTANA,,SN,,,,,,,,,,,-20.06001997222222,-44.18801830555555,758.0,VILAONDINA,3,32470000
31,40159,5,0,2,RUA,,MARIA JOSE SANTANA,55.0,,,,,,,,,,,,-20.068275,-44.17933330555555,758.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.063978305555555,-44.184219972222216,765.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.06777,-44.183168305555554,787.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,,SN,,,,,,,,,,,-20.061784972222224,-44.18388833333333,750.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,DIAMANTE,324.0,,,,,,,,,,,,-20.06055166666667,-44.185404999999996,748.0,VILA DA SERRA,3,32470000
31,40159,5,0,2,RUA,,CAMPO,,SN,,,,,,,,,,,-20.06454666666667,-44.16424333333333,827.0,B JARDIM,3,32470000
31,40159,5,0,2,RUA,,CAMPO,,SN,,,,,,,,,,,-20.065093305555557,-44.16417830555555,818.0,B JARDIM,3,32470000
31,40159,5,0,2,RUA,,CAMPO,,SN,,,,,,,,,,,-20.06388666666667,-44.16435333333333,820.0,B JARDIM,3,32470000
31,40159,5,0,2,RUA,,CAMPO,,SN,,,,,,,,,,,-20.06460663888889,-44.16440333333333,827.0,B JARDIM,3,32470000
31,40159,5,0,2,RUA,,CAMPO,,SN,,,,,,,,,,,-20.064468305555557,-44.163963333333335,823.0,B JARDIM,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.072025,-44.170033305555556,782.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.072069972222224,-44.170116666666665,783.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.070306666666667,-44.16917333333333,789.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.068464972222223,-44.16753,787.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.068056666666667,-44.167494999999995,782.0,CAMPO BELO.,3,32470000
31,40159,5,0,2,RUA,,CAMPO BELI,,SN,,,,,,,,,,,-20.066735,-44.16768666666666,782.0,CAMPO BELO.,3,32470000
