COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.164221666666666,-44.17345497222222,784.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.172608305555556,-44.177575,795.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.20711163888889,-44.16220330555556,839.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.22212833333333,-44.15516997222222,780.0,TOCA DE CIMA,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,681.0,,,,,,,,,,,,-20.203986666666665,-44.15351663888889,758.0,TOCA DE CIMA,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.21796497222222,-44.143658305555554,788.0,TOCA DE CIMA,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.214466666666667,-44.13544997222222,762.0,TOCA DE CIMA,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.186106666666667,-44.17066,766.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.203089972222223,-44.137076638888885,801.0,MELO FRANCO,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.194013333333334,-44.14204497222222,807.0,MELO FRANCO,3,35460000
31,9006,5,0,2,ESTRADA,,DA TOCA,,SN,,,,,,,,,,,-20.21135497222222,-44.163466638888885,851.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,FAZENDA,,BELA VISTA,,SN,,,,,,,,,,,-20.20958333333333,-44.18077333333333,817.0,BRUMADINHO,3,35460000
31,9006,5,0,2,FAZENDA,,LARANJAL,,SN,,,,,,,,,,,-20.224445,-44.154513305555554,767.0,TOCA DE CIMA,3,35460000
